Source,Target,Weight,Type
188,885,1.4793,Undirected
1736,17871,1.6030,Undirected
402,1512,2.0838,Undirected
13257,13258,3.1953,Undirected
2592,4486,3.3224,Undirected
101626,16153,1.7636,Undirected
1512,17825,1.1638,Undirected
801,802,1.5839,Undirected
428,4252,1.8113,Undirected
221,422,5.5786,Undirected
797,928,1.1574,Undirected
26,2969,2.3502,Undirected
1911,4486,2.0593,Undirected
422,767,2.8033,Undirected
1695,1000,1.5709,Undirected
977,2065,3.4671,Undirected
428,28871,1.3406,Undirected
422,859,5.3528,Undirected
39,1237,2.4031,Undirected
77,422,1.6314,Undirected
106,7125,2.6887,Undirected
511,523,1.7043,Undirected
7710,2513,2.9877,Undirected
184,1439,1.2611,Undirected
915,7125,1.1440,Undirected
511,103213,1.5367,Undirected
26,724,19.3828,Undirected
73,1237,1.3481,Undirected
48,77,1.1990,Undirected
4808,7725,3.5016,Undirected
4524,18845,5.0766,Undirected
49,2696,2.0533,Undirected
184,801,1.0208,Undirected
128,7024,1.6557,Undirected
465,1432,2.0874,Undirected
300,922,2.2165,Undirected
71918,49837,1.4907,Undirected
2065,491,1.0931,Undirected
271955,876818,8.8074,Undirected
130,816,1.9557,Undirected
1372,7725,3.0662,Undirected
161,21548,1.2785,Undirected
977,4486,2.8533,Undirected
5794,7709,1.1259,Undirected
26,5009,2.5130,Undirected
148,9846,2.4322,Undirected
2065,18845,4.5569,Undirected
724,803,8.3054,Undirected
201,4486,1.5212,Undirected
145,159,1.1577,Undirected
928,2869,1.2057,Undirected
392,397,1.3150,Undirected
184,977,1.7452,Undirected
922,2731,1.9856,Undirected
72,4523,1.3568,Undirected
922,988,1.4419,Undirected
128,767,18.7552,Undirected
984,1609,1.0040,Undirected
188,2065,1.0229,Undirected
928,4486,1.2483,Undirected
8,1237,1.4810,Undirected
26,803,7.8317,Undirected
859,4032,1.1540,Undirected
128,7125,4.9056,Undirected
392,2853,1.1183,Undirected
922,6223,3.1782,Undirected
37,422,3.0378,Undirected
523,532,1.3132,Undirected
909,3956,2.0489,Undirected
221,1200,1.9272,Undirected
922,1237,74.4304,Undirected
1237,3490,1.6055,Undirected
546,6908,1.0312,Undirected
26,922,37.1619,Undirected
2575,5878,2.0691,Undirected
4486,380315,1.6655,Undirected
26,923,1.3409,Undirected
128,1727,1.2707,Undirected
922,1007,1.4282,Undirected
922,9822,1.6432,Undirected
26,45,2.9972,Undirected
988,5282,1.0236,Undirected
696,767,2.7855,Undirected
1372,3183,1.9794,Undirected
99285,15918,1.0703,Undirected
26,7125,4.5649,Undirected
915,3051,2.7977,Undirected
696,803,3.1582,Undirected
72,523,2.0736,Undirected
922,1601,14.8947,Undirected
1601,60843,1.4190,Undirected
48,300,1.6108,Undirected
547,2575,1.6596,Undirected
26,696,1.0825,Undirected
47,724,10.3267,Undirected
1512,7710,1.6152,Undirected
49837,51360,1.9158,Undirected
43883,3956,1.7572,Undirected
47,4167,1.1382,Undirected
392,767,11.5492,Undirected
1241,16153,1.9963,Undirected
422,724,6.0250,Undirected
26,491,1.7510,Undirected
814,922,1.5184,Undirected
4808,61835,3.8691,Undirected
909,7860,1.2008,Undirected
803,4195,1.1285,Undirected
237,803,1.6382,Undirected
803,5709,1.1804,Undirected
803,928,1.7147,Undirected
173,422,1.4325,Undirected
392,18845,1.1280,Undirected
38,2277,2.4111,Undirected
458799,271955,8.8740,Undirected
184,1372,2.5662,Undirected
60,2738,3.4208,Undirected
422,18845,1.4630,Undirected
7710,9846,8.6151,Undirected
724,727,4.3422,Undirected
1696,4486,3.4682,Undirected
724,4486,5.6949,Undirected
1007,7709,2.3474,Undirected
449,465,1.3630,Undirected
27,1439,1.4798,Undirected
671,724,1.6856,Undirected
18521,51907,1.5928,Undirected
128,184,21.8490,Undirected
922,9246,2.2411,Undirected
923,1237,1.9042,Undirected
803,7125,2.0615,Undirected
128,814,1.1059,Undirected
5398,9846,1.1025,Undirected
344043,344044,1.1824,Undirected
696,1192,2.4791,Undirected
1230,3136,1.1389,Undirected
27,9538,1.9290,Undirected
671,686,1.2106,Undirected
2065,7024,1.0011,Undirected
1512,18845,5.8480,Undirected
221,635,1.1128,Undirected
547,2592,1.6686,Undirected
128,7710,1.2727,Undirected
130,393,1.0811,Undirected
48,73,3.5271,Undirected
392,11196,1.1443,Undirected
814,18845,1.1110,Undirected
449,8129,1.0482,Undirected
933,9246,3.8705,Undirected
922,6416,1.2482,Undirected
1237,9246,1.3138,Undirected
181022,28871,1.2675,Undirected
4917,7024,1.8914,Undirected
922,3429,3.1286,Undirected
38,5009,2.8725,Undirected
2065,3136,2.8624,Undirected
38,101626,1.7479,Undirected
188,813,1.1670,Undirected
671,7710,1.0869,Undirected
767,2418,4.3385,Undirected
3529,30883,1.8572,Undirected
422,9136,1.3163,Undirected
1283,16542,1.4245,Undirected
102481,734097,1.0104,Undirected
498,503,1.3791,Undirected
1601,3429,1.8221,Undirected
221,586,1.2642,Undirected
465,54123,1.1272,Undirected
38,16153,2.0034,Undirected
671,951,1.4523,Undirected
459241,2084,1.9705,Undirected
48,1380,3.0113,Undirected
128,2853,1.7827,Undirected
237,767,1.0581,Undirected
1432,2009,1.5364,Undirected
300,498,2.2739,Undirected
2418,15674,1.2032,Undirected
422,923,2.6074,Undirected
106,221,1.2777,Undirected
48,422,10.8652,Undirected
6416,17580,1.3376,Undirected
548,6908,1.0148,Undirected
1241,491,1.0847,Undirected
38,803,1.2979,Undirected
797,813,1.9531,Undirected
923,1003,1.1728,Undirected
3529,3956,1.6471,Undirected
4032,13958,1.0314,Undirected
2738,2798,1.2942,Undirected
1186,4954,1.0092,Undirected
803,808,2.1186,Undirected
261,18845,3.2932,Undirected
422,449,7.2595,Undirected
1380,4252,1.2973,Undirected
586,16288,2.2480,Undirected
422,1210,1.2468,Undirected
2084,22760,3.4146,Undirected
799,4486,1.7997,Undirected
797,951,1.1614,Undirected
12022,27305,1.1077,Undirected
48,922,5.9548,Undirected
797,802,2.7650,Undirected
38,39,5.0144,Undirected
422,428,4.0644,Undirected
145209,23735,1.7609,Undirected
767,922,17.9600,Undirected
797,859,4.0464,Undirected
128,392,9.4236,Undirected
146,5398,3.9046,Undirected
128,1200,1.6690,Undirected
2969,6416,1.8699,Undirected
16288,26327,1.0697,Undirected
2009,3703,2.4183,Undirected
767,3490,1.1058,Undirected
498,17733,1.6570,Undirected
26,498,1.1521,Undirected
106,1302,2.6901,Undirected
1241,2277,1.2551,Undirected
422,1609,2.9078,Undirected
221,21548,1.0572,Undirected
10091,11076,2.5024,Undirected
797,7125,5.2097,Undirected
1372,16794,1.0397,Undirected
801,922,1.3436,Undirected
1003,1601,2.0124,Undirected
392,43884,1.1945,Undirected
47,859,1.2259,Undirected
26,2074,1.4626,Undirected
184,951,1.1990,Undirected
37,491,2.9507,Undirected
892,4060,1.0048,Undirected
803,11150,1.4154,Undirected
801,1237,1.1488,Undirected
1063,9846,1.5444,Undirected
994,4032,1.0413,Undirected
261,671,4.7607,Undirected
2592,5321,1.1169,Undirected
859,928,8.9744,Undirected
422,28871,1.6159,Undirected
146,3216,1.2102,Undirected
1439,2606,1.5928,Undirected
46271,145209,1.7454,Undirected
344044,344045,1.1782,Undirected
2065,19870,1.3162,Undirected
128,671,4.1461,Undirected
261,4524,1.2014,Undirected
859,9538,1.9925,Undirected
671,803,2.7765,Undirected
797,1483,1.1624,Undirected
2524,15674,1.7974,Undirected
4524,5009,1.9216,Undirected
49,77,1.1794,Undirected
9336,23884,1.1294,Undirected
547,2169,1.5095,Undirected
188,933,1.7244,Undirected
221,2827,1.8476,Undirected
696,10453,1.0149,Undirected
2084,3723,4.3663,Undirected
128,813,1.3017,Undirected
465,922,1.5560,Undirected
909,943,1.8255,Undirected
724,764,1.8088,Undirected
2524,13297,1.1300,Undirected
885,2418,3.0557,Undirected
458799,876818,9.0297,Undirected
422,803,8.4449,Undirected
221,254,1.5802,Undirected
32,2969,2.1317,Undirected
73,18845,1.4046,Undirected
55,72,2.9898,Undirected
767,1439,1.2134,Undirected
2169,2575,1.4911,Undirected
392,5346,1.9366,Undirected
724,977,2.8639,Undirected
696,1237,1.7608,Undirected
767,7024,2.0395,Undirected
128,261,5.6542,Undirected
48,449,1.5671,Undirected
797,801,1.9156,Undirected
73,3717,1.9186,Undirected
4252,26860,1.2371,Undirected
184,5709,1.0157,Undirected
26,859,7.4195,Undirected
797,4486,18.5402,Undirected
128,130,3.0398,Undirected
26,39,10.5660,Undirected
2575,18845,2.1040,Undirected
159,7710,1.4259,Undirected
184,2592,1.5750,Undirected
803,902,1.7817,Undirected
184,9246,1.3964,Undirected
1003,15869,1.6723,Undirected
1279,2467,1.0077,Undirected
922,1750,1.0905,Undirected
422,435,1.3152,Undirected
392,915,3.9329,Undirected
1380,5709,1.1173,Undirected
2008,854,1.1228,Undirected
128,133,1.6178,Undirected
922,9491,1.1098,Undirected
465,27305,1.0531,Undirected
1372,7125,1.9272,Undirected
767,7125,3.1604,Undirected
2969,5009,3.0542,Undirected
767,859,4.7751,Undirected
671,922,6.7019,Undirected
155,10882,1.0643,Undirected
184,1230,1.0238,Undirected
26,797,15.3813,Undirected
797,1166,3.1553,Undirected
48,1372,1.4637,Undirected
221,724,5.5016,Undirected
221,2065,3.7303,Undirected
27,2606,5.1326,Undirected
465,12022,1.8320,Undirected
106,922,1.5576,Undirected
221,1372,1.7431,Undirected
7710,17825,1.9995,Undirected
6416,12908,1.4277,Undirected
422,1283,1.2782,Undirected
48,803,1.1629,Undirected
94,2524,3.2300,Undirected
221,928,1.1570,Undirected
659,2418,1.3505,Undirected
136,15588,1.0642,Undirected
2482,491,1.0810,Undirected
49,78,1.1571,Undirected
6223,7709,1.8753,Undirected
671,933,1.4346,Undirected
392,8516,1.0599,Undirected
128,915,9.0623,Undirected
221,797,2.8969,Undirected
3703,1283,2.4068,Undirected
71918,61251,1.3470,Undirected
671,1372,1.5809,Undirected
803,620285,1.7999,Undirected
184,696,3.4682,Undirected
184,767,17.8224,Undirected
2575,5321,1.5035,Undirected
915,1372,3.7224,Undirected
1185,854,3.2474,Undirected
94,2238,1.3546,Undirected
803,6728,1.2457,Undirected
859,923,1.7559,Undirected
6528,445280,2.9698,Undirected
236,108301,1.0048,Undirected
46,1452,2.4638,Undirected
261,400,1.0430,Undirected
60,1237,1.2136,Undirected
48,9336,1.3190,Undirected
922,7710,4.4107,Undirected
803,5178,2.4027,Undirected
422,3703,2.1664,Undirected
988,3051,1.0616,Undirected
696,859,1.7395,Undirected
1230,2065,1.6334,Undirected
146,2009,2.9771,Undirected
26,32,1.6188,Undirected
1200,15674,6.1095,Undirected
